URL,hospital_name,hospital_departoment,tel,address,address_point
https://doctorsfile.jp/h/100303/,たくま歯科医院,歯科 矯正歯科 小児歯科 歯科口腔外科,0875-73-5581,〒767-0033 香川県三豊市三野町吉津甲514-6,"[133.684845, 34.198151]"
https://doctorsfile.jp/h/84615/,医療法人社団 安藤内科医院,内科,0875-72-5018,〒767-0012 香川県三豊市高瀬町上勝間1654-1,"[133.740509, 34.177734]"
https://doctorsfile.jp/h/84614/,医療法人社団 高橋皮膚科医院,皮膚科,0875-73-5161,〒767-0002 香川県三豊市高瀬町新名943-2,"[133.710464, 34.191223]"
https://doctorsfile.jp/h/105846/,中西歯科医院,歯科 小児歯科 歯科口腔外科,0875-72-6057,〒767-0011 香川県三豊市高瀬町下勝間2185-2,"[133.717163, 34.171185]"
https://doctorsfile.jp/h/84624/,医療法人社団 池田外科医院,外科 整形外科 麻酔科,0875-62-3151,〒769-1502 香川県三豊市豊中町笠田笠岡2136,"[133.704971, 34.156876]"
https://doctorsfile.jp/h/43945/,医療法人社団正寿会 高瀬第一医院,内科 産婦人科,0875-72-3850,〒767-0001 香川県三豊市高瀬町上高瀬1260,"[133.737549, 34.196796]"
https://doctorsfile.jp/h/43948/,森川整形外科病院,内科 リウマチ科 外科 整形外科 リハビリテーション科,0875-72-5661,〒767-0011 香川県三豊市高瀬町下勝間1623-1,"[133.717163, 34.171185]"
https://doctorsfile.jp/h/84631/,医療法人社団 おおくら医院,内科 リハビリテーション科,0875-82-3353,〒769-1406 香川県三豊市仁尾町仁尾辛39-13,"[133.646729, 34.194614]"
https://doctorsfile.jp/h/84612/,永野内科医院,内科,0875-74-6018,〒767-0013 香川県三豊市高瀬町下麻1383-1,"[133.763901, 34.184002]"
https://doctorsfile.jp/h/100302/,しらい歯科クリニック,歯科 矯正歯科 小児歯科,0120-725-237,〒767-0031 香川県三豊市三野町大見甲3857-1,"[133.716888, 34.221462]"
https://doctorsfile.jp/h/84625/,医療法人社団英迎会 そがわ医院,内科 リウマチ科 整形外科 糖尿病内科,0875-62-2357,〒769-1508 香川県三豊市豊中町下高野1091,"[133.679855, 34.160564]"
https://doctorsfile.jp/h/43947/,医療法人社団昭慈会 藤田脳神経外科医院,内科 外科 脳神経外科 整形外科,0875-72-1135,〒767-0002 香川県三豊市高瀬町新名971-1,"[133.710464, 34.191223]"
https://doctorsfile.jp/h/100291/,曽川歯科医院,歯科 矯正歯科,0875-62-2002,〒769-1506 香川県三豊市豊中町本山甲1334-4,"[133.695541, 34.139755]"
https://doctorsfile.jp/h/129859/,医療法人社団十仁会 多田医院,内科 リウマチ科 整形外科 リハビリテーション科 麻酔科,0875-83-2121,〒769-1101 香川県三豊市詫間町詫間1338-23,"[133.671661, 34.219444]"
https://doctorsfile.jp/h/100301/,森川歯科医院,歯科 矯正歯科,0875-63-2968,〒768-0103 香川県三豊市山本町財田西698,"[133.736526, 34.116432]"
https://doctorsfile.jp/h/203875/,久保歯科医院,歯科 小児歯科,0875-62-2221,〒769-1504 香川県三豊市豊中町上高野3913-1,"[133.709396, 34.141777]"
https://doctorsfile.jp/h/100293/,医療法人社団英歯会 小林歯科医院,歯科 小児歯科,0875-83-6333,〒769-1102 香川県三豊市詫間町松崎2780-160,"[133.687927, 34.220215]"
https://doctorsfile.jp/h/84617/,大西医院,内科 リハビリテーション科 麻酔科,0875-63-2081,〒768-0102 香川県三豊市山本町大野2854-5,"[133.725739, 34.129036]"
https://doctorsfile.jp/h/84629/,医療法人社団 小野医院,外科,0875-83-8181,〒769-1101 香川県三豊市詫間町詫間6815-5,"[133.665253, 34.227154]"
https://doctorsfile.jp/h/105850/,おおした歯科医院,歯科 小児歯科,0875-83-7106,〒769-1101 香川県三豊市詫間町詫間3912-1,"[133.66243, 34.230709]"
https://doctorsfile.jp/h/43953/,医療法人社団愛有会 岩崎病院,内科 外科 整形外科 泌尿器科 リハビリテーション科 放射線科,0875-83-6011,〒769-1102 香川県三豊市詫間町松崎2780-426,"[133.687927, 34.220215]"
https://doctorsfile.jp/h/171856/,上枝循環器内科クリニック,内科,0875-23-7010,〒769-1504 香川県三豊市豊中町上高野1906-3,"[133.701263, 34.143723]"
https://doctorsfile.jp/h/134147/,医療法人優心会 豊中大塚歯科医院,歯科 小児歯科,0875-62-6688,〒769-1502 香川県三豊市豊中町笠田笠岡3031-4 笠田ハイツ,"[133.711212, 34.159988]"
https://doctorsfile.jp/h/84618/,医療法人社団 山地外科医院,外科,0875-72-2577,〒767-0032 香川県三豊市三野町下高瀬920-1,"[133.703995, 34.204674]"
https://doctorsfile.jp/h/131218/,医療法人社団 しのはら医院,内科 外科 リハビリテーション科,0875-56-7222,〒768-0103 香川県三豊市山本町財田西348-1,"[133.736526, 34.116432]"
https://doctorsfile.jp/h/84611/,石井医院,内科,0875-73-6100,〒767-0004 香川県三豊市高瀬町比地1315-1,"[133.6819, 34.178551]"
https://doctorsfile.jp/h/105849/,しつかわ歯科医院,歯科 小児歯科,0875-83-6480,〒769-1101 香川県三豊市詫間町詫間680-45,"[133.675827, 34.220825]"
https://doctorsfile.jp/h/84630/,医療法人社団 みずた内科,内科 小児科,0875-83-7218,〒769-1102 香川県三豊市詫間町松崎301-3,"[133.695297, 34.217419]"
https://doctorsfile.jp/h/100300/,三宅歯科医院,歯科 矯正歯科 小児歯科,0875-63-8500,〒768-0103 香川県三豊市山本町財田西315,"[133.736526, 34.116432]"
https://doctorsfile.jp/h/132181/,内科,0875-83-5708,0875-83-5708,〒769-1109 香川県三豊市詫間町志々島381,"[133.67691, 34.270912]"
https://doctorsfile.jp/h/84613/,医療法人社団 藤川医院,外科,0875-74-7977,〒767-0022 香川県三豊市高瀬町羽方672,"[133.739777, 34.142063]"
https://doctorsfile.jp/h/84627/,医療法人社団 平林医院,内科 外科 小児科 整形外科,0875-83-2221,〒769-1101 香川県三豊市詫間町詫間413-1,"[133.6539, 34.227676]"
https://doctorsfile.jp/h/84626/,村上医院,内科 麻酔科,0875-83-2006,〒769-1101 香川県三豊市詫間町詫間5488,"[133.652954, 34.232922]"
https://doctorsfile.jp/h/131519/,石光耳鼻咽喉科クリニック,耳鼻咽喉科,0875-56-6555,〒769-1501 香川県三豊市豊中町比地大667-1,"[133.686813, 34.173]"
https://doctorsfile.jp/h/183061/,医療法人社団蕗弘会 おとなこども歯科クリニック,歯科 矯正歯科 小児歯科 歯科口腔外科,0875-72-2152,〒767-0012 香川県三豊市高瀬町上勝間1666-1,"[133.740509, 34.177734]"
https://doctorsfile.jp/h/105847/,田中歯科医院,歯科 小児歯科,0875-82-4780,〒769-1406 香川県三豊市仁尾町仁尾辛45-1,"[133.641357, 34.199265]"
https://doctorsfile.jp/h/105851/,みやざき歯科医院,歯科,0875-83-7222,〒769-1101 香川県三豊市詫間町詫間6784-27,"[133.685059, 34.218578]"
https://doctorsfile.jp/h/84616/,高井医院,整形外科 リハビリテーション科,0875-63-2041,〒768-0103 香川県三豊市山本町財田西377-4,"[133.736526, 34.116432]"
https://doctorsfile.jp/h/100299/,医療法人社団泰公会 小野歯科医院,歯科 矯正歯科 小児歯科,0875-72-3888,〒767-0002 香川県三豊市高瀬町新名1018-15,"[133.710464, 34.191223]"
https://doctorsfile.jp/h/105848/,浪越歯科医院,歯科 矯正歯科 小児歯科 歯科口腔外科,0875-82-5555,〒769-1403 香川県三豊市仁尾町仁尾丙729-1,"[133.658188, 34.197037]"
https://doctorsfile.jp/h/43952/,医療法人社団新栄会 細川病院,内科 外科 神経内科 呼吸器外科 婦人科 麻酔科,0875-83-2211,〒769-1102 香川県三豊市詫間町松崎1639-1,"[133.691833, 34.221539]"
https://doctorsfile.jp/h/155954/,ただ歯科医院,歯科 矯正歯科 小児歯科,0875-56-2762,〒767-0032 香川県三豊市三野町下高瀬1938-1,"[133.703995, 34.204674]"
https://doctorsfile.jp/h/167939/,まるお眼科,眼科,0875-62-1736,〒769-1504 香川県三豊市豊中町上高野3923-3,"[133.709396, 34.141777]"
https://doctorsfile.jp/h/158594/,医療法人社団 ぬまはら皮ふ科,皮膚科,0875-56-6500,〒769-1501 香川県三豊市豊中町比地大2621,"[133.689041, 34.167072]"
https://doctorsfile.jp/h/84619/,医療法人社団佐武会 嶋田内科医院,内科,0875-73-5178,〒767-0032 香川県三豊市三野町下高瀬2770,"[133.703995, 34.204674]"
https://doctorsfile.jp/h/84628/,医療法人喜水会 水田医院,内科 小児科 リハビリテーション科,0875-84-6217,〒769-1104 香川県三豊市詫間町大浜1880,"[133.617584, 34.233791]"
https://doctorsfile.jp/h/105843/,医療法人社団 はまだ歯科・矯正クリニック,歯科 矯正歯科 小児歯科,0875-62-3500,〒769-1501 香川県三豊市豊中町比地大2624-6,"[133.689041, 34.167072]"
https://doctorsfile.jp/h/105844/,医療法人社団 まなべ歯科医院,歯科 矯正歯科 小児歯科 歯科口腔外科,0875-62-6480,〒769-1502 香川県三豊市豊中町笠田笠岡3062-4,"[133.710327, 34.162289]"
https://doctorsfile.jp/h/43949/,医療法人社団和風会 橋本病院,内科 リウマチ科 外科 心療内科 精神科 整形外科 泌尿器科 リハビリテーション科 放射線科,0875-63-3311,〒768-0103 香川県三豊市山本町財田西902-1,"[133.736526, 34.116432]"
https://doctorsfile.jp/h/100298/,医療法人社団 篠丸歯科医院,歯科 小児歯科,0875-72-3788,〒767-0004 香川県三豊市高瀬町比地226-1,"[133.6819, 34.178551]"
https://doctorsfile.jp/h/184979/,かしづかクリニック,内科 外科 リハビリテーション科 乳腺外科,0875-82-9000,〒767-0011 香川県三豊市高瀬町下勝間2324,"[133.717163, 34.171185]"
https://doctorsfile.jp/h/84634/,三豊市国民健康保険財田診療所,内科 外科 小児科,0875-67-3800,〒769-0401 香川県三豊市財田町財田上2141,"[133.795883, 34.113705]"
https://doctorsfile.jp/h/43946/,一般社団法人三豊・観音寺市医師会 三豊市立西香川病院,内科 精神科 リハビリテーション科,0875-72-5121,〒767-0003 香川県三豊市高瀬町比地中2986-3,"[133.702835, 34.180786]"
https://doctorsfile.jp/h/84623/,医療法人社団 今川内科医院,内科,0875-62-2052,〒769-1503 香川県三豊市豊中町笠田竹田285-3,"[133.697464, 34.155434]"
https://doctorsfile.jp/h/43944/,医療法人明世社 白井病院,眼科,0875-72-3131,〒767-0001 香川県三豊市高瀬町上高瀬1339,"[133.737549, 34.196796]"
https://doctorsfile.jp/h/100297/,つづき歯科医院,歯科 小児歯科,0875-72-5240,〒767-0002 香川県三豊市高瀬町新名771-1,"[133.710464, 34.191223]"
https://doctorsfile.jp/h/43951/,三豊市立みとよ市民病院,内科 外科 心療内科 精神科 整形外科 泌尿器科 眼科 耳鼻咽喉科 リハビリテーション科,0875-83-3001,〒769-1101 香川県三豊市詫間町詫間6784-206,"[133.685059, 34.218578]"
